id,chart_date,target_rank,actual_rank,title,artist,peak_rank,weeks_on_chart
134,1/7/1967,49,47,I Had Too Much To Dream (Last Night),The Electric Prunes,11,14
135,7/13/1985,94,,,,,
136,8/15/1964,76,,,,,
137,9/14/1991,76,,,,,
138,7/13/1963,78,,,,,
139,9/29/1990,79,79,The Way You Do The Things You Do,UB40,6,25
140,6/29/1974,43,41,La Grange,ZZ Top,41,19
141,12/4/1982,39,39,Shock The Monkey,Peter Gabriel,29,18
142,1/17/1970,96,,,,,
143,10/12/1963,77,,,,,
144,7/24/1976,74,,,,,
145,12/18/1961,22,20,Runaround Sue,Dion,1,14
146,5/10/1975,82,,,,,
147,2/6/1961,32,32,Wheels,The String-A-Longs,3,16
148,3/27/1982,30,31,Spirits In The Material World,The Police,11,13
149,7/21/1979,38,38,Just When I Needed You Most,Randy Vanwarmer,4,20
150,9/29/1984,7,6,What's Love Got To Do With It,Tina Turner,1,28
151,2/3/1990,80,,,,,
152,6/21/1986,76,,,,,
153,5/1/1961,52,50,Walk Right Back,The Everly Brothers,7,13
154,2/9/1980,62,63,Lonely Eyes,Robert John,41,11
155,4/20/1985,28,27,Forever Man,Eric Clapton,26,12
156,5/1/1965,61,,,,,
157,8/24/1959,8,8,Sleep Walk,Santo & Johnny,1,18
158,3/22/1986,52,52,Something About You,Level 42,7,27
159,10/30/1961,35,34,Little Sister,Elvis Presley,5,13
160,4/20/1963,93,91,If You Need Me,Solomon Burke,37,11
161,6/8/1974,86,,,,,
162,1/4/1960,77,79,Sweet Nothin's,Brenda Lee,4,24
163,6/10/1972,84,,,,,
164,8/29/1960,24,,,,,
165,10/3/1964,73,,,,,
166,2/29/1964,12,,,,,
167,6/8/1974,38,39,No Charge,Melba Montgomery,39,10
168,9/16/1967,9,9,San Franciscan Nights,The Animals,9,10
169,6/19/1961,96,95,Sea Of Heartbreak,Don Gibson,21,14
170,2/19/1983,19,20,Twilight Zone,Golden Earring,10,27
171,7/4/1964,77,,,,,
172,6/29/1963,67,69,If You Need Me,Solomon Burke,37,11
173,6/3/1972,71,,,,,
174,5/26/1984,71,,,,,
175,2/28/1981,66,,,,,
176,8/8/1970,26,27,25 Or 6 To 4,Chicago,4,20
177,2/5/1977,74,74,I've Got Love On My Mind,Natalie Cole,5,21
178,11/26/1983,99,,,,,
179,9/1/1962,67,66,You Can't Judge A Book By The Cover,Bo Diddley,48,10
180,7/1/1972,69,68,Beautiful,Gordon Lightfoot,58,11
181,3/19/1983,80,79,Always Something There To Remind Me,Naked Eyes,8,22
182,9/21/1974,67,68,Annie's Song,John Denver,1,17
183,12/15/1979,34,35,Chiquitita,Abba,29,12
184,4/30/1988,12,11,Always On My Mind,Pet Shop Boys,4,14
185,10/27/1958,31,29,Just A Dream,Jimmy Clanton,4,18
186,10/8/1988,67,,,,,
187,11/5/1977,20,18,Help Is On Its Way,Little River Band,14,22
188,7/28/1979,7,7,I Want You To Want Me,Cheap Trick,7,19
189,9/18/1961,87,,,,,
190,2/8/1975,20,20,Never Can Say Goodbye,Gloria Gaynor,9,17
191,7/20/1968,66,64,People Got To Be Free,The Rascals,1,14
192,11/2/1959,30,29,Unforgettable,Dinah Washington,17,13
193,9/30/1978,96,96,Shadow Dancing,Andy Gibb,1,25
194,12/21/1974,38,36,Willie And The Hand Jive,Eric Clapton,26,9
195,7/29/1972,8,7,School's Out,Alice Cooper,7,13
196,5/12/1962,36,34,Love Me Warm And Tender,Paul Anka,12,12
197,2/26/1983,81,,,,,
198,3/16/1985,36,36,Along Comes A Woman,Chicago,14,16
199,10/11/1980,40,41,Could I Have This Dance,Anne Murray,33,14
200,3/22/1975,92,,,,,
201,10/15/1983,58,,,,,
202,4/21/1973,29,28,Love Train,The O'Jays,1,14
203,12/6/1969,80,81,"Wonderful World, Beautiful People",Jimmy Cliff,25,11
204,8/29/1970,35,34,I Want To Take You Higher,Ike & Tina Turner,34,18
205,1/15/1983,94,93,Pressure,Billy Joel,20,17
206,3/5/1977,20,20,Maybe I'm Amazed,Paul McCartney,10,13
207,9/5/1987,36,37,Back In The High Life Again,Steve Winwood,13,21
208,8/21/1976,65,67,Another Rainy Day In New York City,Chicago,32,9
209,5/4/1974,99,97,Already Gone,Eagles,32,15
210,2/20/1971,22,24,She's A Lady,Tom Jones,2,14
211,3/16/1968,59,,,,,
212,8/28/1961,41,42,It's Gonna Work Out Fine,Ike & Tina Turner,14,15
213,12/29/1962,36,36,Comin' Home Baby,Mel Torme,36,11
214,2/9/1959,94,95,(Night Time Is) The Right Time,Ray Charles,95,1
215,10/30/1976,12,10,Magic Man,Heart,9,23
216,4/8/1972,29,30,Do Your Thing,Isaac Hayes,30,11
217,4/11/1981,60,61,Jessie's Girl,Rick Springfield,1,32
218,10/9/1976,26,24,Fernando,Abba,13,16
219,6/13/1981,17,,,,,
220,11/17/1962,62,61,Ramblin' Rose,"Nat ""King"" Cole",2,16
221,9/28/1974,39,38,Feel Like Makin' Love,Roberta Flack,1,16
222,11/10/1973,49,49,For Ol' Times Sake,Elvis Presley,41,9
223,9/3/1983,89,89,Wanna Be Startin' Somethin',Michael Jackson,5,15
224,3/15/1969,18,18,Galveston,Glen Campbell,4,12
225,2/13/1982,76,,,,,
226,5/12/1962,60,,,,,
227,11/21/1981,57,55,Promises In The Dark,Pat Benatar,38,11
228,9/2/1989,96,95,Still Cruisin,The Beach Boys,93,3
229,7/19/1969,78,79,Honky Tonk Women,The Rolling Stones,1,15
230,9/10/1977,76,,,,,
231,7/2/1977,23,24,"Knowing Me, Knowing You",Abba,14,15
232,6/9/1990,52,,,,,
233,11/5/1966,13,,,,,
234,11/20/1971,77,75,Life Is A Carnival,The Band,72,6
235,12/28/1974,65,65,Back Home Again,John Denver,5,16
236,5/23/1987,95,95,"Tonight, Tonight, Tonight",Genesis,3,15
237,7/27/1985,54,,,,,
238,1/5/1980,95,97,You Decorated My Life,Kenny Rogers,7,18
239,6/7/1975,77,79,Sail On Sailor,The Beach Boys,49,17
240,1/14/1978,14,16,Just The Way You Are,Billy Joel,3,27
241,12/29/1962,40,38,White Christmas,Bing Crosby,12,13
242,2/16/1991,50,49,Because I Love You (The Postman Song),Stevie B,1,23
243,4/24/1961,69,,,,,
244,11/12/1966,17,16,"Have You Seen Your Mother, Baby, Standing In The Shadow?",The Rolling Stones,9,7
245,3/18/1978,66,68,It Amazes Me,John Denver,59,7
246,10/11/1975,14,15,Rhinestone Cowboy,Glen Campbell,1,23
247,1/5/1974,94,93,Last Kiss,J. Frank Wilson & The Cavaliers,2,20
248,11/13/1971,42,42,I'd Love To Change The World,Ten Years After,40,12
249,5/19/1979,32,30,Old Time Rock & Roll,Bob Seger,28,18
250,2/8/1960,6,5,Handy Man,Jimmy Jones,2,18
251,12/27/1969,97,95,Theme From Electric Surfboard,Brother Jack McDuff,95,2
252,10/3/1970,96,,,,,
253,12/22/1962,10,10,Love Came To Me,Dion,10,11
254,3/22/1986,12,14,Sanctify Yourself,Simple Minds,14,14
255,7/18/1981,77,,,,,
256,11/3/1973,95,93,Smokin' In The Boy's Room,Brownsville Station,3,19
257,11/16/1968,38,40,Shape Of Things To Come,Max Frost & The Troopers,22,12
258,8/3/1991,90,88,Don't Treat Me Bad,Firehouse,19,23
259,7/14/1979,59,60,Born To Be Alive,Patrick Hernandez,16,19
260,4/17/1971,4,4,She's A Lady,Tom Jones,2,14
261,11/2/1968,31,30,In-A-Gadda-Da-Vida,Iron Butterfly,30,17
262,9/18/1961,91,,,,,
263,3/2/1974,35,34,Last Kiss,Wednesday,34,18
264,9/16/1967,43,42,Dandelion,The Rolling Stones,14,8
265,4/29/1972,33,34,(Last Night) I Didn't Get To Sleep At All,The 5th Dimension,8,16
266,1/6/1973,86,,,,,
267,3/7/1964,47,47,Worried Guy,Johnny Tillotson,37,7
268,5/31/1980,90,90,Time For Me To Fly,REO Speedwagon,56,13
269,7/28/1973,12,13,Money,Pink Floyd,13,15
270,11/23/1963,44,44,In My Room,The Beach Boys,23,11
271,3/8/1986,40,38,Addicted To Love,Robert Palmer,1,22
272,1/25/1960,40,,,,,
273,11/19/1988,89,,,,,
274,11/6/1965,68,,,,,
275,11/21/1981,55,55,Promises In The Dark,Pat Benatar,38,11
276,10/17/1970,25,24,Patches,Clarence Carter,4,14
277,10/6/1962,77,,,,,
278,1/9/1982,19,20,Waiting On A Friend,The Rolling Stones,13,15
279,6/30/1979,79,78,Born To Be Alive,Patrick Hernandez,16,19
280,1/7/1967,87,88,It Takes Two,"Marvin Gaye,Kim Weston",14,12
281,1/30/1988,20,19,There's The Girl,Heart,12,17
282,10/6/1979,41,39,Gotta Serve Somebody,Bob Dylan,24,12
283,8/30/1980,57,,,,,
284,2/5/1966,29,28,These Boots Are Made For Walkin',Nancy Sinatra,1,14
285,11/1/1986,35,,,,,
286,2/9/1991,89,,,,,
287,8/23/1980,73,,,,,
288,2/15/1964,32,34,As Usual,Brenda Lee,12,11
289,1/27/1968,84,83,Guitar Man,Elvis Presley,28,20
290,11/18/1972,51,52,Long Dark Road,The Hollies,26,11
291,1/21/1978,74,73,The Way You Do The Things You Do,Rita Coolidge,20,11
292,8/29/1970,10,10,25 Or 6 To 4,Chicago,4,20
293,12/26/1981,18,20,Every Little Thing She Does Is Magic,The Police,3,19
294,8/24/1968,78,79,Mr. Bojangles,Jerry Jeff Walker,77,5
295,4/29/1978,91,92,Just The Way You Are,Billy Joel,3,27
296,10/4/1975,19,18,Lyin' Eyes,Eagles,2,14
297,12/18/1971,72,71,That's The Way I Feel About Cha,Bobby Womack,27,13
298,12/27/1969,64,,,,,
299,6/16/1973,50,,,,,
300,9/26/1987,1,2,Here I Go Again,Whitesnake,1,28
301,2/5/1972,69,,,,,
302,3/28/1964,80,78,Do You Want To Know A Secret,The Beatles,2,11
303,8/21/1982,74,74,Break It To Me Gently,Juice Newton,11,17
304,4/28/1990,24,26,The Humpty Dance,Digital Underground,11,23
305,8/3/1974,31,,,,,
306,5/12/1979,4,5,In The Navy,Village People,3,18
307,3/1/1980,5,7,Cruisin',Smokey Robinson,4,25
308,7/30/1966,42,43,You Can't Roller Skate In A Buffalo Herd,Roger Miller,40,6
309,11/3/1984,21,20,All Through The Night,Cyndi Lauper,5,19
310,1/15/1983,13,14,The Other Guy,Little River Band,11,18
311,9/30/1989,46,,,,,
312,4/12/1980,69,69,Daydream Believer,Anne Murray,12,17
313,2/23/1980,51,,,,,
314,11/27/1965,8,9,I Got You (I Feel Good),James Brown,3,12
315,2/16/1974,35,35,Come And Get Your Love,Redbone,5,23
316,2/6/1988,80,,,,,
317,11/10/1979,28,29,Dream Police,Cheap Trick,26,10
318,4/3/1961,12,12,Wheels,The String-A-Longs,3,16
319,6/26/1976,14,15,I Want You,Marvin Gaye,15,13
320,1/8/1972,100,98,Floy Joy,The Supremes,16,12
321,1/5/1963,33,,,,,
322,12/1/1958,79,78,Bird Dog,The Everly Brothers,2,19
323,11/17/1979,27,27,Dream Police,Cheap Trick,26,10
324,7/26/1975,72,73,When Will I Be Loved,Linda Ronstadt,2,19
325,2/23/1974,85,87,Let Me Get To Know You,Paul Anka,80,8
326,3/29/1975,58,57,My Boy,Elvis Presley,20,11
327,7/30/1966,80,,,,,
328,11/18/1967,63,,,,,
329,3/7/1987,58,56,Smoking Gun,The Robert Cray Band,22,14
330,1/21/1967,70,71,Go Where You Wanna Go,The 5th Dimension,16,10
331,1/19/1974,22,22,Jungle Boogie,Kool & The Gang,4,22
332,2/27/1982,34,35,Waiting On A Friend,The Rolling Stones,13,15
333,9/11/1971,53,,,,,
334,1/28/1984,73,73,Somebody s Watching Me,Rockwell,2,19
335,11/10/1962,7,9,Do You Love Me,The Contours,3,34
336,8/13/1977,5,4,(Your Love Has Lifted Me) Higher And Higher,Rita Coolidge,2,27
337,8/25/1979,34,,,,,
338,12/26/1981,84,82,Through The Years,Kenny Rogers,13,15
339,2/16/1991,27,28,Deeper Shade Of Soul,Urban Dance Squad,21,18
340,8/29/1987,52,,,,,
341,9/17/1977,17,17,Easy,Commodores,4,22
342,3/17/1990,37,,,,,
343,2/13/1971,9,9,If I Were Your Woman,Gladys Knight & The Pips,9,15
344,4/9/1983,94,,,,,
345,3/2/1974,25,25,Doo Doo Doo Doo Doo (Heartbreaker),The Rolling Stones,15,11
346,11/6/1976,76,75,Living It Down,Freddy Fender,72,4
347,7/23/1977,63,62,Sunflower,Glen Campbell,39,11
348,11/4/1989,14,15,The Best,Tina Turner,15,14
349,3/9/1991,85,86,Don t Treat Me Bad,Firehouse,19,23
350,6/23/1973,61,,,,,
351,1/25/1975,55,55,Roll On Down The Highway,Bachman-Turner Overdrive,14,11
352,11/9/1991,31,31,Good Vibrations,Marky Mark,1,19
353,11/17/1984,27,27,I Can't Drive 55,Sammy Hagar,26,16
354,4/5/1975,2,2,Philadelphia Freedom,Elton John,1,21
355,6/20/1964,44,42,"I Rise, I Fall",Johnny Tillotson,36,8
356,7/3/1961,21,20,Dum Dum,Brenda Lee,4,12
357,2/28/1987,77,,,,,
358,2/24/1973,73,73,Superman,Donna Fargo,41,9
359,2/13/1988,93,92,Just Like Heaven,The Cure,40,19
360,8/15/1970,38,37,I Want To Take You Higher,Ike & Tina Turner,34,18
361,1/15/1977,23,25,This Song,George Harrison,25,11
362,2/9/1974,42,43,Last Kiss,Wednesday,34,18
363,9/26/1964,98,,,,,
364,4/4/1970,18,18,Evil Ways,Santana,9,13
365,4/23/1977,86,,,,,
366,8/25/1973,9,11,Feelin' Stronger Every Day,Chicago,10,16
367,8/27/1977,31,31,Undercover Angel,Alan O'Day,1,25
368,7/12/1986,39,,,,,
369,1/7/1967,66,66,Kind Of A Drag,The Buckinghams,1,13
370,10/7/1989,23,24,Kisses On The Wind,Neneh Cherry,8,14
371,6/29/1963,40,41,Losing You,Brenda Lee,6,13
372,8/20/1983,95,94,Scarlet Fever,Kenny Rogers,94,2
373,9/7/1991,29,,,,,
374,10/16/1971,98,,,,,
375,4/11/1960,61,,,,,
376,2/12/1983,30,,,,,
377,9/22/1973,68,70,I Can't Stand The Rain,Ann Peebles,38,21
378,4/28/1990,25,26,The Humpty Dance,Digital Underground,11,23
379,4/10/1961,57,,,,,
380,6/8/1974,41,42,Best Thing That Ever Happened To Me,Gladys Knight & The Pips,3,17
381,3/31/1973,63,63,Hocus Pocus,Focus,9,19
382,6/8/1991,76,76,Where The Streets Have No Name,Pet Shop Boys,72,7
383,8/13/1966,19,20,Sunshine Superman,Donovan,1,13
384,8/10/1985,2,3,If You Love Somebody Set Them Free,Sting,3,18
385,4/14/1990,23,25,Hold On,Wilson Phillips,1,25
386,12/26/1970,57,56,I Really Don't Want To Know,Elvis Presley,21,9
387,11/14/1964,18,18,Time Is On My Side,The Rolling Stones,6,13
388,8/10/1959,96,,,,,
389,11/17/1984,89,89,Tenderness,General Public,27,18
390,6/26/1976,38,40,Young Hearts Run Free,Candi Staton,20,16
391,6/7/1969,19,19,It's Your Thing,The Isley Brothers,2,14
392,12/24/1977,2,,,,,
393,7/26/1980,22,22,Misunderstanding,Genesis,14,18
394,9/14/1974,33,,,,,
395,4/2/1977,54,54,Here Come Those Tears Again,Jackson Browne,23,9
396,9/22/1958,32,33,Fever,Peggy Lee,8,16
397,12/27/1969,47,48,Kozmic Blues,Janis Joplin,41,9
398,2/23/1959,92,,,,,
399,1/19/1959,14,13,One Night,Elvis Presley,4,17
400,1/25/1975,53,54,Woman To Woman,Shirley Brown,22,14
401,6/22/1985,17,19,The Goonies R Good Enough,Cyndi Lauper,10,15
402,10/17/1964,4,5,Last Kiss,J. Frank Wilson & The Cavaliers,2,20
403,5/13/1967,32,32,I Never Loved A Man (The Way I Love You),Aretha Franklin,9,11
404,12/8/1962,12,11,He's A Rebel,The Crystals,1,18
405,6/28/1986,33,,,,,
406,3/8/1975,88,88,Amie,Pure Prairie League,27,13
407,5/16/1987,71,72,Wild Horses,Gino Vannelli,55,15
408,12/31/1966,57,,,,,
409,8/8/1987,19,,,,,
410,2/20/1961,28,27,Jimmy's Girl,Johnny Tillotson,25,11
411,6/6/1981,82,,,,,
412,11/25/1972,78,80,Sunday Morning Sunshine,Harry Chapin,75,6
413,8/21/1965,51,,,,,
414,6/1/1991,91,93,Someone,The Rembrandts,78,10
415,1/24/1976,34,33,Golden Years,David Bowie,10,21
416,3/2/1968,69,,,,,
417,12/11/1982,47,47,"(You're So Square) Baby, I Don't Care",Joni Mitchell,47,9
418,12/23/1967,16,17,Chain Of Fools,Aretha Franklin,2,12
419,4/7/1979,26,26,Blow Away,George Harrison,16,14
420,7/14/1962,45,,,,,
421,4/26/1969,48,46,Pinball Wizard,The Who,19,11
422,8/9/1969,75,,,,,
423,11/30/1974,60,,,,,
424,5/14/1988,28,,,,,
425,2/2/1963,47,48,See See Rider,LaVern Baker,34,11
426,11/9/1985,32,32,I m Goin  Down,Bruce Springsteen,9,13
427,1/11/1969,63,62,Bluebirds Over The Mountain,The Beach Boys,61,6
428,3/2/1959,24,,,,,
429,5/29/1971,5,6,Put Your Hand In The Hand,Ocean,2,14
430,5/12/1984,77,77,I Want A New Drug,Huey Lewis,6,19
431,2/26/1977,77,,,,,
432,1/9/1971,65,64,One Bad Apple,The Osmonds,1,15
433,9/23/1972,47,47,If I Could Reach You,The 5th Dimension,10,15
434,3/7/1960,15,15,Where Or When,Dion,3,16
435,10/19/1959,97,,,,,
436,3/29/1975,76,,,,,
437,10/29/1966,65,,,,,
438,8/24/1963,55,,,,,
439,2/9/1963,6,7,Ruby Baby,Dion,2,13
440,3/3/1984,48,,,,,
441,3/19/1966,58,,,,,
442,12/22/1990,54,52,World In My Eyes,Depeche Mode,52,10
443,12/5/1981,99,97,Better Things,The Kinks,92,8
444,1/9/1971,31,29,I Really Don't Want To Know,Elvis Presley,21,9
445,5/3/1975,43,43,Old Days,Chicago,5,11
446,12/14/1974,44,42,Back Home Again,John Denver,5,16
447,9/16/1989,70,,,,,
448,5/26/1984,22,22,Jump (for My Love),The Pointer Sisters,3,24
449,8/10/1968,59,,,,,
450,8/22/1981,6,5,Jessie's Girl,Rick Springfield,1,32
451,3/11/1989,83,81,Got It Made,"Crosby, Stills, Nash",69,8
452,7/15/1989,65,64,Don't Say You Love Me,Billy Squier,58,15
453,4/28/1973,83,,,,,
454,9/7/1974,10,11,Feel Like Makin' Love,Roberta Flack,1,16
455,6/9/1962,31,32,Walk On The Wild Side (Part 1),Jimmy Smith,21,11
456,7/22/1978,94,96,With A Little Luck,Paul McCartney,1,18
457,6/13/1964,76,78,Not Fade Away,The Rolling Stones,48,13
458,3/8/1986,37,38,Addicted To Love,Robert Palmer,1,22
459,2/7/1981,68,,,,,
460,9/15/1984,84,,,,,
461,3/30/1963,54,56,On Broadway,The Drifters,9,10
462,9/7/1963,35,,,,,
463,8/21/1982,78,78,Seasons Of The Heart,John Denver,78,5
464,9/15/1984,39,39,Flesh For Fantasy,Billy Idol,29,12
465,7/11/1987,52,52,Give To Live,Sammy Hagar,23,17
466,8/15/1987,21,,,,,
467,5/20/1967,73,73,Little Bit O' Soul,The Music Explosion,2,16
468,8/20/1966,41,42,Ain't Too Proud To Beg,The Temptations,13,13
469,7/2/1988,56,56,In Your Soul,Corey Hart,38,10
470,5/30/1987,48,,,,,
471,1/4/1964,15,14,As Usual,Brenda Lee,12,11
472,1/28/1978,43,44,Sweet Music Man,Kenny Rogers,44,8
473,10/25/1969,13,13,Come Together,The Beatles,1,16
474,10/18/1969,83,84,Silver Threads And Golden Needles,The Cowsills,74,7
475,1/5/1980,56,56,Daydream Believer,Anne Murray,12,17
476,8/24/1991,19,18,I Adore Mi Amor,Color Me Badd,1,20
477,8/26/1967,18,18,Carrie-Anne,The Hollies,9,13
478,12/2/1978,65,65,One Last Kiss,The J. Geils Band,35,13
479,11/21/1964,56,56,Wendy,The Beach Boys,44,6
480,6/27/1981,49,50,Give It To Me Baby,Rick James,40,14
481,3/22/1969,17,17,"Baby, Baby Don't Cry",The Miracles,8,14
482,8/15/1981,62,61,I'm In Love,"Evelyn ""Champagne"" King",40,14
483,6/16/1973,13,11,Right Place Wrong Time,Dr. John,9,20
484,7/7/1962,65,65,Heart In Hand,Brenda Lee,15,8
485,5/7/1977,31,30,Rich Girl,Daryl Hall & John Oates,1,20
486,3/8/1986,83,,,,,
487,3/8/1986,48,,,,,
488,11/20/1965,10,,,,,
489,12/22/1984,72,,,,,
